gene,log2FoldChange,pvalue,padj
Rprm,1.470480478,2.88E-232,4.96E-228
Slc6a1,-0.484991703,8.59E-210,7.40E-206
Tmc6,1.733691963,4.58E-197,2.63E-193
Adamts18,1.674136685,5.44E-192,2.34E-188
Drd1,1.636614604,7.36E-180,2.54E-176
Npas4,-3.144553613,1.42E-170,4.07E-167
Spry4,-0.982173299,1.68E-169,4.12E-166
Acvr1c,1.28419348,2.40E-169,5.17E-166
Dlx6os1,-0.943163434,4.34E-159,8.30E-156
C1ql2,1.558503158,6.80E-159,1.17E-155
Plekha2,1.298661328,1.92E-157,3.01E-154
Gm30551,3.40486077,6.46E-157,9.27E-154
Col4a6,2.037863413,5.06E-154,6.70E-151
5830408C22Rik,2.067271932,1.23E-145,1.51E-142
Rtl3,-2.145289296,3.87E-141,4.44E-138
S100a6,1.798103215,2.23E-137,2.40E-134
C4b,2.586272317,2.89E-137,2.92E-134
Draxin,1.325446069,6.64E-134,6.35E-131
Gldn,2.131730549,3.87E-131,3.50E-128
Camk1g,-0.633260781,1.61E-128,1.38E-125
Ssc5d,1.983904275,4.33E-126,3.55E-123
Flnc,2.143413554,6.14E-126,4.81E-123
Lnp1,1.920930309,2.00E-124,1.49E-121
Mmp19,1.792601355,2.49E-124,1.79E-121
Capg,1.956833069,3.33E-124,2.29E-121
Gm34567,1.154105953,1.33E-122,8.82E-120
Adgrf4,2.509841626,3.63E-121,2.23E-118
Bgn,1.751617954,3.49E-121,2.23E-118
Gm28578,1.177475135,1.09E-119,6.48E-117
Htr5b,-1.325876946,5.00E-119,2.87E-116
Rasd1,-1.342445235,3.89E-118,2.16E-115
Penk,1.621121163,1.07E-117,5.74E-115
Mfap4,1.708255539,9.97E-117,5.20E-114
Ppl,1.425644282,8.66E-115,4.39E-112
Pip5k1b,-0.73717117,6.19E-114,3.04E-111
Gfap,1.802767628,3.82E-111,1.83E-108
Col6a1,1.561030815,1.04E-110,4.85E-108
C2cd4c,0.917954903,3.03E-110,1.37E-107
Slc6a5,4.378450365,1.15E-109,5.08E-107
Camkk2,-0.730842569,4.40E-107,1.89E-104
Stk26,-0.718231351,7.35E-107,3.09E-104
Igfbpl1,1.748461243,8.11E-107,3.32E-104
A2m,1.876972817,3.62E-106,1.45E-103
Hcar2,3.1097094,5.47E-106,2.14E-103
Nanos1,-0.406707476,5.67E-105,2.17E-102
Ecm1,1.291907874,1.52E-103,5.68E-101
Etv5,-0.585785367,3.54E-103,1.29E-100
Ngf,-0.790413949,8.42E-103,3.02E-100
Ggta1,1.606069853,1.44E-102,5.06E-100
Slc2a10,0.968675813,9.81E-102,3.38E-99
Abhd6,-0.360355659,1.03E-101,3.46E-99
Ccn4,2.198152463,5.54E-101,1.83E-98
Sbk1,-0.670570858,1.21E-100,3.94E-98
Col4a5,1.282551958,4.37E-100,1.39E-97
Dnajb1,-0.849689872,5.57E-99,1.74E-96
Itgax,4.447456919,2.13E-98,6.55E-96
Bpnt1,-0.304502949,2.38E-98,7.20E-96
Vim,1.898005918,2.66E-98,7.88E-96
Dusp6,-0.939403027,5.18E-98,1.51E-95
Cav1,0.874518325,4.08E-97,1.17E-94
Mei1,2.812747742,4.28E-97,1.21E-94
Gnb5,-0.360260901,5.48E-97,1.52E-94
Slc22a4,1.068632024,7.99E-97,2.18E-94
Msn,0.905456587,8.78E-97,2.36E-94
Cxcr4,0.966394573,4.73E-96,1.25E-93
Gm42864,1.347047171,1.01E-94,2.62E-92
Timp1,3.249660499,5.93E-94,1.52E-91
Car5b,0.820490494,1.41E-93,3.57E-91
Gal,2.546425453,4.62E-93,1.15E-90
Col12a1,1.294760209,6.10E-93,1.50E-90
Col1a1,2.093604302,1.07E-92,2.58E-90
B430319G15Rik,1.247150545,1.38E-92,3.29E-90
Kcnip1,-0.481185646,2.51E-92,5.92E-90
Bmp3,1.660261614,2.64E-92,6.15E-90
Slc14a1,0.999263106,2.01E-91,4.62E-89
Rhoj,0.828062969,2.11E-91,4.78E-89
Ubfd1,-0.324939759,6.90E-91,1.54E-88
