gene,log2FoldChange,pvalue,padj
5830408C22Rik,2.072167447,1.42E-30,1.35E-27
6330420H09Rik,-1.588926386,1.09E-30,1.35E-27
Abhd6,-0.363257258,1.52E-30,1.35E-27
Adamts18,1.676625532,7.52E-31,1.35E-27
C1ql2,1.554652171,9.19E-31,1.35E-27
C4b,2.583312387,8.60E-31,1.35E-27
Capg,1.956093936,1.57E-30,1.35E-27
Cd44,1.875749825,2.05E-30,1.35E-27
Col4a6,2.040016458,1.86E-30,1.35E-27
Dlx6os1,-0.946707244,1.28E-30,1.35E-27
Draxin,1.320992806,2.12E-30,1.35E-27
Drd1,1.632436855,1.86E-30,1.35E-27
Flnc,2.142634147,1.57E-30,1.35E-27
Gfap,1.799149421,1.24E-30,1.35E-27
Gldn,2.12710773,1.86E-30,1.35E-27
Htr5b,-1.333422596,1.24E-30,1.35E-27
Pip5k1b,-0.740388588,1.62E-30,1.35E-27
Plekha2,1.295405169,1.12E-30,1.35E-27
Rasd1,-1.346501583,8.60E-31,1.35E-27
Rprm,1.46648293,9.51E-31,1.35E-27
Rtl3,-2.127046434,1.37E-30,1.35E-27
S100a6,1.7962477,1.28E-30,1.35E-27
Slc22a4,1.066736112,1.92E-30,1.35E-27
Slc6a1,-0.488551237,7.52E-31,1.35E-27
Spry4,-0.986404228,2.12E-30,1.35E-27
Tmc6,1.730943848,8.60E-31,1.35E-27
Vim,1.894921509,1.68E-30,1.35E-27
Camk1g,-0.637344762,2.34E-30,1.44E-27
Gm34567,1.151005466,2.86E-30,1.64E-27
Msn,0.902574645,2.86E-30,1.64E-27
Camkk2,-0.734129177,3.16E-30,1.75E-27
Gm30551,3.416231018,3.49E-30,1.88E-27
Ggta1,1.605586921,3.86E-30,2.01E-27
Mmp19,1.795997546,3.99E-30,2.02E-27
Slc14a1,0.995852132,4.12E-30,2.03E-27
P4ha3,1.23694256,4.26E-30,2.04E-27
Ccdc3,1.127517908,4.71E-30,2.15E-27
Dnajb1,-0.852973754,4.86E-30,2.15E-27
Slc2a10,0.968201965,4.86E-30,2.15E-27
A2m,1.874780517,5.20E-30,2.24E-27
Col6a1,1.558297729,5.93E-30,2.32E-27
Hcar2,3.121959513,5.92E-30,2.32E-27
Ppl,1.424884028,5.93E-30,2.32E-27
Ptx3,2.132145143,5.74E-30,2.32E-27
Lnp1,1.920448169,6.34E-30,2.37E-27
Pnma2,-0.511164443,6.34E-30,2.37E-27
Adgrf4,2.505339979,6.55E-30,2.40E-27
Slc6a5,4.375414218,6.99E-30,2.51E-27
Timp1,3.251908433,7.72E-30,2.71E-27
Nanos1,-0.409772322,7.98E-30,2.75E-27
Ccn4,2.192557134,8.53E-30,2.88E-27
Etv5,-0.589453065,8.82E-30,2.92E-27
Stk26,-0.719239526,9.73E-30,3.16E-27
Acvr1c,1.28028534,1.04E-29,3.31E-27
Cxcr4,0.964897017,1.07E-29,3.36E-27
Rhoj,0.826916943,1.19E-29,3.52E-27
Slc7a4,0.486483118,1.19E-29,3.52E-27
Tsc22d3,-0.885179997,1.19E-29,3.52E-27
Gfpt2,1.066986964,1.27E-29,3.69E-27
Bgn,1.748491749,1.31E-29,3.75E-27
Ngf,-0.799646092,1.44E-29,4.07E-27
Rbm24,-0.608936043,1.54E-29,4.28E-27
Gm28578,1.173986121,1.70E-29,4.65E-27
Bhlhe41,0.795128367,1.82E-29,4.81E-27
Penk,1.61772121,1.82E-29,4.81E-27
Gpam,0.510797445,1.88E-29,4.82E-27
Tgfbr2,0.848571428,1.88E-29,4.82E-27
Bpnt1,-0.307382498,1.94E-29,4.91E-27
Ubfd1,-0.328353388,2.07E-29,5.17E-27
Sbk1,-0.674335379,2.44E-29,6.00E-27
C3ar1,2.018660658,2.52E-29,6.03E-27
Osmr,1.451016067,2.52E-29,6.03E-27
S1pr3,1.607679926,2.60E-29,6.14E-27
C2cd4c,0.913487838,2.78E-29,6.47E-27
Col12a1,1.292743528,3.17E-29,7.27E-27
Ssc5d,1.984610642,3.27E-29,7.41E-27
Mfap4,1.705527173,3.49E-29,7.81E-27
Cav1,0.871703809,3.61E-29,7.97E-27
AU020206,1.594817617,3.85E-29,8.19E-27
Adamtsl3,1.520972082,3.85E-29,8.19E-27
Npas4,-1.797182419,3.85E-29,8.19E-27
Gm42864,1.347495113,3.98E-29,8.36E-27
Ccsap,0.463658161,4.25E-29,8.60E-27
Fbxo7,0.42361999,4.25E-29,8.60E-27
Tgif1,1.200597466,4.25E-29,8.60E-27
Spcs3,-0.401773534,4.68E-29,9.38E-27
Epop,-1.226283689,5.16E-29,1.02E-26
Glce,0.602748067,5.69E-29,1.11E-26
Agmat,2.851825229,5.87E-29,1.14E-26
Lamp5,-0.821379068,6.28E-29,1.19E-26
Wnt7a,-0.631390422,6.28E-29,1.19E-26
Rasd2,-0.666136777,6.48E-29,1.21E-26
Car5b,0.818506247,6.70E-29,1.24E-26
Igfbpl1,1.744823703,7.15E-29,1.29E-26
Kcnip1,-0.48421637,7.15E-29,1.29E-26
Arhgap36,1.931189865,7.63E-29,1.37E-26
Nr4a1,-1.646158116,8.14E-29,1.44E-26
Aldh1l2,1.193894904,8.68E-29,1.51E-26
Anxa5,0.826965836,8.68E-29,1.51E-26
Dlx5,-0.790081924,9.88E-29,1.68E-26
Gm42829,-0.557422222,9.88E-29,1.68E-26
Mei1,2.815622842,1.02E-28,1.72E-26
Txnrd3,0.675393794,1.12E-28,1.88E-26
Anxa4,1.127827688,1.20E-28,1.99E-26
Gramd1c,0.77419615,1.24E-28,2.03E-26
Gnb5,-0.364419852,1.36E-28,2.22E-26
Cck,-0.591381614,1.41E-28,2.23E-26
Col4a5,1.281654748,1.41E-28,2.23E-26
Parp3,1.011148554,1.41E-28,2.23E-26
Tnfrsf11b,1.398939597,1.46E-28,2.28E-26
Plekha3,-0.313796952,1.50E-28,2.33E-26
B3gat1,-0.494042473,1.55E-28,2.39E-26
Lhx6,-0.536543598,1.66E-28,2.52E-26
Fcgr2b,1.579378373,1.77E-28,2.67E-26
B430319G15Rik,1.246636525,1.82E-28,2.73E-26
Ecm1,1.290270516,2.01E-28,2.98E-26
Lpcat3,0.388607733,2.07E-28,3.05E-26
Dusp6,-0.943502853,2.14E-28,3.13E-26
Ltbp1,0.682365967,2.21E-28,3.20E-26
Gm15663,-0.525036671,2.28E-28,3.22E-26
Homer2,-0.680362162,2.28E-28,3.22E-26
Ip6k3,1.699510767,2.28E-28,3.22E-26
2810459M11Rik,0.696044579,2.36E-28,3.28E-26
Egr4,-1.623776192,2.36E-28,3.28E-26
Iglon5,0.459980972,2.44E-28,3.36E-26
Fgf9,-0.444774965,2.52E-28,3.38E-26
Lrrc55,0.756529422,2.52E-28,3.38E-26
Mfap2,1.137881942,2.52E-28,3.38E-26
Fgf10,-0.658279821,2.60E-28,3.47E-26
Gadd45a,0.708662918,2.68E-28,3.55E-26
Fibcd1,-0.769880424,2.86E-28,3.76E-26
Eif4e3,-0.415570394,2.95E-28,3.85E-26
Frzb,-0.881165421,3.05E-28,3.95E-26
Dusp1,-1.030676887,3.15E-28,4.05E-26
Gal,2.538608062,3.25E-28,4.15E-26
Serpinf2,3.067071874,3.36E-28,4.25E-26
Pdlim4,1.055880207,3.58E-28,4.50E-26
