gene,log2FoldChange,pvalue,padj
Rprm,1.466370928,3.78E-224,6.50E-220
Slc6a1,-0.488461737,1.07E-197,9.20E-194
Tmc6,1.729313868,2.53E-187,1.45E-183
Adamts18,1.668861511,1.53E-186,6.59E-183
Drd1,1.63307461,3.77E-172,1.30E-168
Acvr1c,1.280126385,1.77E-166,5.08E-163
Spry4,-0.985668974,1.06E-164,2.61E-161
Dlx6os1,-0.94639382,1.41E-157,3.04E-154
Plekha2,1.295028839,1.34E-153,2.56E-150
C1ql2,1.554607566,4.01E-152,6.89E-149
Col4a6,2.033453861,2.93E-144,4.58E-141
Gm30551,3.385446753,2.10E-142,3.02E-139
5830408C22Rik,2.061618956,2.25E-138,2.98E-135
C4b,2.583009552,3.35E-135,4.12E-132
Rtl3,-2.144008201,8.51E-131,9.76E-128
S100a6,1.794487357,1.37E-129,1.48E-126
Draxin,1.321369307,3.39E-129,3.43E-126
Penk,1.617609067,2.28E-126,2.18E-123
Camk1g,-0.636846471,1.82E-124,1.65E-121
Gldn,2.126100571,5.00E-122,4.30E-119
Lnp1,1.913766241,4.48E-120,3.67E-117
Gm34567,1.150247768,1.05E-119,8.14E-117
Flnc,2.139594308,1.09E-119,8.14E-117
Mmp19,1.787816525,1.46E-119,1.05E-116
Ssc5d,1.978289596,2.96E-119,2.04E-116
Bgn,1.747957329,1.81E-117,1.20E-114
Gm28578,1.172312555,3.54E-117,2.26E-114
Gfap,1.799130283,3.90E-117,2.40E-114
Capg,1.952465745,1.55E-116,9.20E-114
Htr5b,-1.329088908,1.12E-114,6.41E-112
Rasd1,-1.345829894,7.06E-113,3.92E-110
Adgrf4,2.503356361,1.42E-112,7.65E-110
Pip5k1b,-0.740153715,5.92E-112,3.09E-109
Ppl,1.421998896,5.13E-111,2.60E-108
Mfap4,1.703796128,1.23E-110,6.05E-108
C2cd4c,0.913874187,5.11E-108,2.44E-105
Vim,1.894765226,6.83E-108,3.18E-105
Nanos1,-0.410054409,1.26E-105,5.71E-103
Col6a1,1.55799006,5.00E-105,2.21E-102
Camkk2,-0.733803763,5.47E-105,2.36E-102
Stk26,-0.720882679,1.24E-104,5.21E-102
Etv5,-0.589415148,6.99E-103,2.86E-100
A2m,1.873762831,2.08E-102,8.32E-100
Abhd6,-0.36381897,2.72E-102,1.07E-99
Igfbpl1,1.744184511,4.73E-101,1.81E-98
Sbk1,-0.674082058,1.40E-100,5.23E-98
Ecm1,1.287575622,1.24E-99,4.54E-97
Slc2a10,0.965048645,2.32E-99,8.33E-97
Ngf,-0.793078553,2.88E-99,1.01E-96
Bpnt1,-0.307863393,2.27E-98,7.81E-96
Dnajb1,-0.853010342,4.65E-98,1.57E-95
Dusp6,-0.943644811,1.21E-97,3.99E-95
Hcar2,3.090238019,1.79E-97,5.82E-95
Ggta1,1.603261405,1.85E-97,5.90E-95
Col4a5,1.279365509,7.24E-97,2.27E-94
Gnb5,-0.363729883,9.59E-97,2.95E-94
Cav1,0.871080522,3.04E-96,9.18E-94
Msn,0.902057,3.19E-95,9.47E-93
Cxcr4,0.962634154,4.87E-94,1.42E-91
Slc22a4,1.065220788,5.69E-94,1.63E-91
Ccn4,2.190303473,8.49E-94,2.40E-91
Gm42864,1.342540354,2.24E-92,6.21E-90
Ubfd1,-0.328292702,1.39E-91,3.80E-89
Car5b,0.81734379,4.47E-91,1.20E-88
B430319G15Rik,1.241964251,5.84E-91,1.55E-88
Kcnip1,-0.48427947,1.52E-90,3.96E-88
Bmp3,1.654889045,3.63E-90,9.32E-88
Col12a1,1.291184251,3.81E-90,9.65E-88
Slc14a1,0.995466494,4.56E-90,1.14E-87
Slc6a5,4.359783077,1.86E-89,4.58E-87
Rhoj,0.824491884,4.03E-89,9.77E-87
Mei1,2.798273539,1.11E-88,2.66E-86
Col1a1,2.090100546,3.88E-88,9.16E-86
Wnt7a,-0.628670789,6.59E-87,1.53E-84
Epop,-1.224705004,9.81E-87,2.25E-84
Arhgap36,1.931132467,3.56E-86,8.06E-84
Il13ra1,0.933037604,1.30E-85,2.91E-83
Cd44,1.875089293,2.16E-85,4.77E-83
P4ha3,1.234774425,3.94E-85,8.59E-83
Gal,2.537189358,1.23E-84,2.65E-82
Adamtsl3,1.517499189,1.54E-84,3.28E-82
Anxa2,1.165947764,2.13E-84,4.46E-82
Lrrc55,0.756677092,3.82E-84,7.92E-82
Lhx6,-0.534641107,5.85E-84,1.20E-81
Osmr,1.449340122,2.34E-83,4.75E-81
Htra4,1.473899911,1.71E-82,3.42E-80
Kcne5,1.576516269,2.97E-82,5.87E-80
Timp1,3.234373795,3.02E-82,5.90E-80
Ltbp1,0.681610794,4.29E-82,8.29E-80
Col3a1,2.551782347,6.62E-82,1.27E-79
Rasd2,-0.665490881,8.92E-82,1.69E-79
Tnfrsf11b,1.393555617,1.47E-81,2.75E-79
Chst15,0.595277785,2.86E-81,5.30E-79
Adgrg6,1.231607926,3.70E-81,6.78E-79
Glce,0.602343179,4.43E-81,8.03E-79
Rasl10a,0.648126302,6.34E-81,1.14E-78
Spint1,1.24904097,2.67E-80,4.74E-78
Pcsk5,0.784580386,4.54E-80,7.98E-78
Dlx5,-0.786493826,5.59E-80,9.71E-78
Ip6k3,1.688939197,7.03E-80,1.21E-77
Aspg,1.709707697,1.01E-79,1.71E-77
Bcl6,-0.50917017,1.32E-79,2.23E-77
Gm15663,-0.523722054,1.02E-78,1.70E-76
Itgax,4.437375866,2.11E-78,3.49E-76
Agmat,2.82074107,3.59E-78,5.89E-76
Mfap2,1.137497512,4.26E-78,6.91E-76
Fgf9,-0.443371803,6.23E-78,1.00E-75
Gm42829,-0.554257887,8.85E-78,1.41E-75
Tgfbr2,0.848102246,1.64E-77,2.59E-75
Gramd1c,0.767590172,2.42E-77,3.79E-75
Spcs3,-0.401816208,2.75E-77,4.26E-75
6330420H09Rik,-1.583302362,5.26E-77,8.08E-75
