gene,log2FoldChange,pvalue,padj
Slc6a1,-0.492653269,8.59E-74,1.48E-69
Rprm,1.429836072,3.27E-73,2.81E-69
Spry4,-0.985806846,1.76E-67,1.01E-63
Dlx6os1,-0.955788312,2.63E-67,1.13E-63
Drd1,1.633214237,2.21E-65,6.33E-62
Adamts18,1.64395281,2.03E-65,6.33E-62
Acvr1c,1.255081299,8.53E-64,2.10E-60
Rtl3,-2.322481881,2.23E-63,4.80E-60
Tmc6,1.685784722,2.68E-62,5.12E-59
C1ql2,1.487029566,6.35E-62,1.09E-58
Plekha2,1.257155346,1.33E-61,2.08E-58
Htr5b,-1.390095003,2.00E-60,2.86E-57
Camk1g,-0.638876183,3.41E-59,4.52E-56
Rasd1,-1.408865265,8.39E-59,1.03E-55
Dusp6,-0.983032673,9.89E-58,1.13E-54
Egr4,-1.778168748,9.03E-57,9.71E-54
Gm34567,1.150611645,2.00E-56,2.02E-53
Stk26,-0.739419095,4.76E-56,4.55E-53
Pip5k1b,-0.755737927,1.06E-55,9.58E-53
Camkk2,-0.76039495,3.91E-55,3.37E-52
Nr4a1,-1.807224701,7.15E-55,5.86E-52
Penk,1.549807087,8.66E-55,6.78E-52
Egr1,-1.763468288,1.86E-54,1.39E-51
Col4a6,1.953354907,1.97E-54,1.41E-51
Npas4,-3.188041257,2.75E-54,1.89E-51
Nanos1,-0.41439467,4.26E-54,2.82E-51
Ngf,-0.79917191,1.54E-53,9.80E-51
C4b,2.356051807,1.90E-53,1.17E-50
Abhd6,-0.367600137,3.34E-53,1.92E-50
5830408C22Rik,2.000499293,2.24E-53,1.33E-50
Draxin,1.299228727,3.78E-53,2.10E-50
Bgn,1.653941061,4.39E-53,2.36E-50
Etv5,-0.595863985,8.62E-53,4.50E-50
Gfap,1.649394287,1.40E-52,7.07E-50
Sbk1,-0.674633569,5.12E-52,2.52E-49
Bpnt1,-0.308421368,8.33E-52,3.98E-49
Gnb5,-0.367936872,1.19E-51,5.53E-49
Epop,-1.256997535,1.36E-51,6.01E-49
6330420H09Rik,-1.765302818,1.26E-51,5.73E-49
Gm28578,1.142690115,1.83E-51,7.87E-49
Col6a1,1.581645537,9.07E-51,3.81E-48
C2cd4c,0.894430393,9.98E-51,4.09E-48
Slc2a10,0.962483947,1.27E-50,5.09E-48
Kcnip1,-0.487456349,6.32E-50,2.36E-47
Mmp19,1.734023462,5.23E-50,2.00E-47
Gm30551,3.295163918,2.49E-50,9.72E-48
Vim,1.717357107,2.33E-49,8.52E-47
Ubfd1,-0.326085914,3.85E-49,1.35E-46
Lnp1,1.852823949,3.79E-49,1.35E-46
Wnt7a,-0.627442456,9.59E-49,3.24E-46
Dnajb1,-0.817247136,9.27E-49,3.19E-46
S100a6,1.653457603,1.36E-48,4.43E-46
Ssc5d,1.923293705,1.36E-48,4.43E-46
Cav1,0.840515282,3.40E-48,1.08E-45
Col4a5,1.245294348,4.98E-48,1.56E-45
Arc,-1.992550841,1.12E-47,3.45E-45
Rhoj,0.810852204,2.05E-47,6.19E-45
Rasd2,-0.677011922,4.06E-47,1.20E-44
Msn,0.85072185,4.11E-47,1.20E-44
Ppl,1.35436115,1.80E-46,5.17E-44
Lhx6,-0.531025322,1.89E-46,5.33E-44
Car5b,0.796717938,2.15E-46,5.97E-44
Ltbp1,0.682627396,2.42E-46,6.61E-44
Gm15663,-0.524574017,5.08E-46,1.37E-43
Mfap4,1.63470587,1.02E-45,2.70E-43
Bcl6,-0.513784768,1.06E-45,2.76E-43
Dlx5,-0.785659838,1.59E-45,4.08E-43
Col1a1,2.062686589,1.70E-45,4.31E-43
Fgf9,-0.442154805,2.80E-45,7.00E-43
Flnc,2.000614498,4.05E-45,9.95E-43
Igfbpl1,1.699751995,5.82E-45,1.39E-42
B430319G15Rik,1.220121685,4.74E-45,1.15E-42
Col12a1,1.241834588,6.13E-45,1.45E-42
Mfap2,1.154225561,7.43E-45,1.73E-42
Rasl10a,0.642533925,8.03E-45,1.84E-42
Lrrc55,0.747920254,8.58E-45,1.94E-42
Gramd1c,0.77736986,1.07E-44,2.39E-42
Ecm1,1.232843691,1.50E-44,3.28E-42
Gm42829,-0.553043178,1.69E-44,3.60E-42
Pnma2,-0.526699449,1.53E-44,3.30E-42
Spcs3,-0.401343457,1.73E-44,3.63E-42
Bean1,-0.748810674,2.80E-44,5.74E-42
Moxd1,-0.649471368,2.75E-44,5.71E-42
Hcar2,3.11700692,1.28E-44,2.83E-42
Rbm24,-0.621031207,4.64E-44,9.40E-42
Col3a1,2.572997865,5.77E-44,1.15E-41
Mtrr,-0.434904364,6.26E-44,1.24E-41
Cxcr4,0.913543423,6.96E-44,1.33E-41
Slc14a1,0.932071709,6.35E-44,1.24E-41
Iglon5,0.467242457,6.60E-44,1.28E-41
Lamp5,-0.83299618,8.55E-44,1.62E-41
A2m,1.711502925,9.43E-44,1.76E-41
Gldn,1.948083825,1.16E-43,2.16E-41
Gm42864,1.299829637,1.39E-43,2.55E-41
Igfbp6,1.097270943,1.51E-43,2.74E-41
Eif4e3,-0.426206546,1.86E-43,3.29E-41
Ccsap,0.459442645,1.69E-43,3.03E-41
Nr4a2,-0.953378396,1.87E-43,3.29E-41
Glce,0.582970114,1.99E-43,3.47E-41
Anxa2,1.114302803,2.58E-43,4.44E-41
Chst15,0.577302261,2.64E-43,4.50E-41
Il13ra1,0.889923503,4.42E-43,7.39E-41
Slc22a4,1.001532157,4.77E-43,7.74E-41
Plekha3,-0.316979475,4.24E-43,7.16E-41
Pdgfrb,0.565082196,4.69E-43,7.74E-41
Slc7a4,0.476389529,4.72E-43,7.74E-41
Frzb,-0.950143134,5.11E-43,8.21E-41
Tsc22d3,-0.841560149,5.35E-43,8.53E-41
E2f6,-0.280209532,6.71E-43,1.06E-40
Dusp1,-1.044516474,7.24E-43,1.13E-40
Aspg,1.701845398,7.86E-43,1.20E-40
Tnfrsf11b,1.34052972,7.82E-43,1.20E-40
Plat,0.50981786,7.82E-43,1.20E-40
Capg,1.788878236,1.26E-42,1.90E-40
Spred3,-0.434765874,1.36E-42,2.01E-40
Nalf2,-0.479136826,1.36E-42,2.01E-40
Cck,-0.61182573,4.17E-42,6.14E-40
Gpam,0.493194831,9.86E-42,1.44E-39
Ip6k3,1.651282492,1.10E-41,1.59E-39
Lpcat3,0.380708418,1.89E-41,2.70E-39
Spint1,1.218211366,2.30E-41,3.27E-39
Rgs20,0.440075235,3.52E-41,4.97E-39
Lsp1,1.188133736,5.16E-41,7.17E-39
Id3,0.764110249,4.89E-41,6.84E-39
4931406C07Rik,0.362203072,5.63E-41,7.76E-39
Serping1,1.494077998,6.65E-41,9.02E-39
Fxyd7,-0.741204428,6.12E-41,8.37E-39
Txnrd3,0.665055268,7.73E-41,1.03E-38
Jade2,-0.523057392,8.08E-41,1.06E-38
Pja1,-0.228600335,8.05E-41,1.06E-38
Cdhr2,1.371340736,7.75E-41,1.03E-38
Pcsk5,0.745607017,1.15E-40,1.50E-38
B4galt1,0.740783175,1.59E-40,2.03E-38
Adgrg6,1.179291433,1.68E-40,2.10E-38
Kcnk4,-0.964308415,1.74E-40,2.16E-38
Las1l,-0.269282525,1.55E-40,2.01E-38
Fbxo7,0.411804409,1.59E-40,2.03E-38
Plekhg5,0.439056271,1.62E-40,2.05E-38
Fibcd1,-0.813128026,1.68E-40,2.10E-38
Mocos,0.919168801,2.25E-40,2.76E-38
Junb,-1.088482057,2.47E-40,3.01E-38
Tram1l1,-0.252671919,2.60E-40,3.15E-38
Tgfbr2,0.799393924,2.84E-40,3.42E-38
Mpped1,-0.430964608,2.87E-40,3.43E-38
2810459M11Rik,0.670177818,3.07E-40,3.65E-38
Rgs6,0.568638769,3.87E-40,4.50E-38
B3gat1,-0.515334689,3.59E-40,4.20E-38
Anxa4,1.083675917,5.10E-40,5.82E-38
Dnah1,0.753271049,4.90E-40,5.63E-38
Anxa5,0.772361194,4.28E-40,4.95E-38
1700014D04Rik,1.470292319,3.26E-40,3.84E-38
Sowaha,-0.491121292,5.91E-40,6.69E-38
Rab8b,-0.39871887,6.28E-40,7.07E-38
Ccdc3,1.024334898,6.80E-40,7.60E-38
Arsj,0.785848564,8.48E-40,9.42E-38
Dlx1as,-0.831211008,8.92E-40,9.84E-38
Dusp5,-0.883630431,9.33E-40,1.02E-37
Gadd45a,0.679138506,1.10E-39,1.20E-37
Dap,0.546123724,1.44E-39,1.54E-37
Col1a2,1.722793438,1.29E-39,1.39E-37
Bmp3,1.547485071,1.46E-39,1.56E-37
P4ha3,1.133541534,2.35E-39,2.46E-37
Arhgap36,1.847174754,2.48E-39,2.59E-37
Htr1b,-0.797650615,2.58E-39,2.66E-37
Sec14l1,-0.254647853,2.29E-39,2.44E-37
Egflam,0.690071739,2.98E-39,3.05E-37
Gfod1,-0.495030658,2.35E-39,2.46E-37
Ggta1,1.457923116,3.51E-39,3.48E-37
Itpripl2,0.635296854,3.40E-39,3.39E-37
Sctr,1.260815379,2.58E-39,2.66E-37
Slc44a2,0.3454852,3.03E-39,3.08E-37
Serpinf1,1.009114058,3.28E-39,3.30E-37
Kansl3,-0.336424091,3.17E-39,3.21E-37
Arhgef3,-0.379949424,3.29E-39,3.30E-37
Mthfd1l,-0.579793427,4.68E-39,4.60E-37
Homer2,-0.708551053,6.40E-39,6.26E-37
Klhl8,-0.239330527,7.16E-39,6.96E-37
S100a11,1.231111275,9.37E-39,8.91E-37
Adamtsl3,1.393088835,9.83E-39,9.30E-37
